Id	Scope	Ref_Name
aaa	I	Ghotuo
aab	I	Alumu-Tesu
aac	I	Ari
aad	I	Amal
aae	I	Arbëreshë Albanian
aaf	I	Aranadan
aag	I	Ambrak
aah	I	Abu' Arapesh
aai	I	Arifama-Miniafia
aak	I	Ankave
aal	I	Afade
aan	I	Anambé
aao	I	Algerian Saharan Arabic
aap	I	Pará Arára
aaq	I	Eastern Abnaki
aar	I	Afar
aas	I	Aasáx
aat	I	Arvanitika Albanian
aau	I	Abau
aaw	I	Solong
aax	I	Mandobo Atas
aaz	I	Amarasi
aba	I	Abé
abb	I	Bankon
abc	I	Ambala Ayta
abd	I	Manide
abe	I	Western Abnaki
abf	I	Abai Sungai
abg	I	Abaga
abh	I	Tajiki Arabic
abi	I	Abidji
abj	I	Aka-Bea
abk	I	Abkhazian
abl	I	Lampung Nyo
abm	I	Abanyom
abn	I	Abua
abo	I	Abon
abp	I	Abellen Ayta
abq	I	Abaza
abr	I	Abron
abs	I	Ambonese Malay
abt	I	Ambulas
abu	I	Abure
abv	I	Baharna Arabic
abw	I	Pal
abx	I	Inabaknon
aby	I	Aneme Wake
abz	I	Abui
aca	I	Achagua
acb	I	Áncá
acd	I	Gikyode
ace	I	Achinese
acf	I	Saint Lucian Creole French
ach	I	Acoli
aci	I	Aka-Cari
ack	I	Aka-Kora
acl	I	Akar-Bale
acm	I	Mesopotamian Arabic
acn	I	Achang
acp	I	Eastern Acipa
acq	I	Ta'izzi-Adeni Arabic
acr	I	Achi
acs	I	Acroá
act	I	Achterhoeks
acu	I	Achuar-Shiwiar
acv	I	Achumawi
acw	I	Hijazi Arabic
acx	I	Omani Arabic
acy	I	Cypriot Arabic
acz	I	Acheron
ada	I	Adangme
adb	I	Atauran
add	I	Lidzonka
ade	I	Adele
adf	I	Dhofari Arabic
adg	I	Andegerebinha
adh	I	Adhola
adi	I	Adi
adj	I	Adioukrou
adl	I	Galo
adn	I	Adang
ado	I	Abu
adq	I	Adangbe
adr	I	Adonara
ads	I	Adamorobe Sign Language
adt	I	Adnyamathanha
adu	I	Aduge
adw	I	Amundava
adx	I	Amdo Tibetan
ady	I	Adyghe
adz	I	Adzera
aea	I	Areba
aeb	I	Tunisian Arabic
aec	I	Saidi Arabic
aed	I	Argentine Sign Language
aee	I	Northeast Pashai
aek	I	Haeke
ael	I	Ambele
aem	I	Arem
aen	I	Armenian Sign Language
aeq	I	Aer
aer	I	Eastern Arrernte
aes	I	Alsea
aeu	I	Akeu
aew	I	Ambakich
aey	I	Amele
aez	I	Aeka
afb	I	Gulf Arabic
afd	I	Andai
afe	I	Putukwam
afg	I	Afghan Sign Language
afh	I	Afrihili
afi	I	Akrukay
afk	I	Nanubae
afn	I	Defaka
afo	I	Eloyi
afp	I	Tapei
afr	I	Afrikaans
afs	I	Afro-Seminole Creole
aft	I	Afitti
afu	I	Awutu
afz	I	Obokuitai
aga	I	Aguano
agb	I	Legbo
agc	I	Agatu
agd	I	Agarabi
age	I	Angal
