Code	N°	English Name	Alias
Adlm	166	Adlam	Adlam
Afak	439	Afaka	 
Aghb	239	Caucasian Albanian	Caucasian_Albanian
Ahom	338	Ahom, Tai Ahom	Ahom
Arab	160	Arabic	Arabic
Aran	161	Arabic (Nastaliq variant)	 
Armi	124	Imperial Aramaic	Imperial_Aramaic
Armn	230	Armenian	Armenian
Avst	134	Avestan	Avestan
Bali	360	Balinese	Balinese
Bamu	435	Bamum	Bamum
Bass	259	Bassa Vah	Bassa_Vah
Batk	365	Batak	Batak
Beng	325	Bengali (Bangla)	Bengali
Berf	258	Beria Erfe	 
Bhks	334	Bhaiksuki	Bhaiksuki
Blis	550	Blissymbols	 
Bopo	285	Bopomofo	Bopomofo
Brah	300	Brahmi	Brahmi
Brai	570	Braille	Braille
Bugi	367	Buginese	Buginese
Buhd	372	Buhid	Buhid
Cakm	349	Chakma	Chakma
Cans	440	Unified Canadian Aboriginal Syllabics	Canadian_Aboriginal
Cari	201	Carian	Carian
Cham	358	Cham	Cham
Cher	445	Cherokee	Cherokee
Chis	298	Chisoi	 
Chrs	109	Chorasmian	Chorasmian
Cirt	291	Cirth	 
Copt	204	Coptic	Coptic
Cpmn	402	Cypro-Minoan	Cypro_Minoan
Cprt	403	Cypriot syllabary	Cypriot
Cyrl	220	Cyrillic	Cyrillic
Cyrs	221	Cyrillic (Old Church Slavonic variant)	 
Deva	315	Devanagari (Nagari)	Devanagari
Diak	342	Dives Akuru	Dives_Akuru
Dogr	328	Dogra	Dogra
Dsrt	250	Deseret (Mormon)	Deseret
Dupl	755	Duployan shorthand, Duployan stenography	Duployan
Egyd	70	Egyptian demotic	 
Egyh	60	Egyptian hieratic	 
Egyp	50	Egyptian hieroglyphs	Egyptian_Hieroglyphs
Elba	226	Elbasan	Elbasan
Elym	128	Elymaic	Elymaic
Ethi	430	Ethiopic (Geʻez)	Ethiopic
Gara	164	Garay	Garay
Geok	241	Khutsuri (Asomtavruli and Nuskhuri)	Georgian
Geor	240	Georgian (Mkhedruli and Mtavruli)	Georgian
Glag	225	Glagolitic	Glagolitic
Gong	312	Gunjala Gondi	Gunjala_Gondi
Gonm	313	Masaram Gondi	Masaram_Gondi
Goth	206	Gothic	Gothic
Gran	343	Grantha	Grantha
Grek	200	Greek	Greek
Gujr	320	Gujarati	Gujarati
Gukh	397	Gurung Khema	Gurung_Khema
Guru	310	Gurmukhi	Gurmukhi
Hanb	503	Han with Bopomofo (alias for Han + Bopomofo)	 
Hang	286	Hangul (Hangŭl, Hangeul)	Hangul
Hani	500	Han (Hanzi, Kanji, Hanja)	Han
Hano	371	Hanunoo (Hanunóo)	Hanunoo
Hans	501	Han (Simplified variant)	 
Hant	502	Han (Traditional variant)	 
Hatr	127	Hatran	Hatran
Hebr	125	Hebrew	Hebrew
Hira	410	Hiragana	Hiragana
Hluw	80	Anatolian Hieroglyphs (Luwian Hieroglyphs, Hittite Hieroglyphs)	Anatolian_Hieroglyphs
Hmng	450	Pahawh Hmong	Pahawh_Hmong
Hmnp	451	Nyiakeng Puachue Hmong	Nyiakeng_Puachue_Hmong
Hntl	504	Han (Traditional variant) with Latin (alias for Hant + Latn)	 
Hrkt	412	Japanese syllabaries (alias for Hiragana + Katakana)	Katakana_Or_Hiragana
Hung	176	Old Hungarian (Hungarian Runic)	Old_Hungarian
Inds	610	Indus (Harappan)	 
Ital	210	Old Italic (Etruscan, Oscan, etc.)	Old_Italic
Jamo	284	Jamo (alias for Jamo subset of Hangul)	 
Java	361	Javanese	Javanese
Jpan	413	Japanese (alias for Han + Hiragana + Katakana)	 
Jurc	510	Jurchen	 
Kali	357	Kayah Li	Kayah_Li
Kana	411	Katakana	Katakana
Kawi	368	Kawi	Kawi
Khar	305	Kharoshthi	Kharoshthi
Khmr	355	Khmer	Khmer
Khoj	322	Khojki	Khojki
Kitl	505	Khitan large script	 
Kits	288	Khitan small script	Khitan_Small_Script
Knda	345	Kannada	Kannada
Kore	287	Korean (alias for Hangul + Han)	 
Kpel	436	Kpelle	 
Krai	396	Kirat Rai	Kirat_Rai
Kthi	317	Kaithi	Kaithi
Lana	351	Tai Tham (Lanna)	Tai_Tham
Laoo	356	Lao	Lao
Latf	217	Latin (Fraktur variant)	 
Latg	216	Latin (Gaelic variant)	 
Latn	215	Latin	Latin
Leke	364	Leke	 
Lepc	335	Lepcha (Róng)	Lepcha
Limb	336	Limbu	Limbu
Lina	400	Linear A	Linear_A
Linb	401	Linear B	Linear_B
Lisu	399	Lisu (Fraser)	Lisu
Loma	437	Loma	 
Lyci	202	Lycian	Lycian
Lydi	116	Lydian	Lydian
Mahj	314	Mahajani	Mahajani
Maka	366	Makasar	Makasar
Mand	140	Mandaic, Mandaean	Mandaic
Mani	139	Manichaean	Manichaean
Marc	332	Marchen	Marchen
Maya	90	Mayan hieroglyphs	 
Medf	265	Medefaidrin (Oberi Okaime, Oberi Ɔkaimɛ)	Medefaidrin
Mend	438	Mende Kikakui	Mende_Kikakui
Merc	101	Meroitic Cursive	Meroitic_Cursive
Mero	100	Meroitic Hieroglyphs	Meroitic_Hieroglyphs
Mlym	347	Malayalam	Malayalam
Modi	324	Modi, Moḍī	Modi
