Macro_Language,Members
Akan,"Fanti, Twi"
Arabic,"Algerian Saharan Arabic, Tajiki Arabic, Baharna Arabic, Mesopotamian Arabic, Ta'izzi-Adeni Arabic, Hijazi Arabic, Omani Arabic, Cypriot Arabic, Dhofari Arabic, Tunisian Arabic, Saidi Arabic, Gulf Arabic, Levantine Arabic, Sudanese Arabic, Standard Arabic, Algerian Arabic, Najdi Arabic, Moroccan Arabic, Egyptian Arabic, Uzbeki Arabic, Eastern Egyptian Bedawi Arabic, Hadrami Arabic, Libyan Arabic, Sanaani Arabic, North Mesopotamian Arabic, Sudanese Creole Arabic, Chadian Arabic, Shihhi Arabic"
Aymara,"Southern Aymara, Central Aymara"
Azerbaijani,"South Azerbaijani, North Azerbaijani"
Baluchi,"Southern Balochi, Western Balochi, Eastern Balochi"
Bikol,"Central Bikol, Southern Catanduanes Bikol, Rinconada Bikol, Northern Catanduanes Bikol, West Albay Bikol, Libon Bikol, Miraya Bikol, Buhi'non Bikol"
Bontok,"Eastern Bontok, Central Bontok, Southern Bontok, Northern Bontok, Southwestern Bontok"
Buriat,"Mongolia Buriat, Russia Buriat, China Buriat"
Mari (Russia),"Eastern Mari, Western Mari"
Cree,"Southern East Cree, Plains Cree, Northern East Cree, Moose Cree, Swampy Cree, Woods Cree"
Delaware,"Munsee, Unami"
Slave (Athapascan),"North Slavey, South Slavey"
Dinka,"South Central Dinka, Southwestern Dinka, Northeastern Dinka, Northwestern Dinka, Southeastern Dinka"
Dogri (macrolanguage),"Dogri (individual language), Kangri"
Estonian,"Standard Estonian, Võro"
Persian,"Iranian Persian, Dari"
Fulah,"Maasina Fulfulde, Adamawa Fulfulde, Pulaar, Borgu Fulfulde, Pular, Western Niger Fulfulde, Bagirmi Fulfulde, Central-Eastern Niger Fulfulde, Nigerian Fulfulde"
Gbaya (Central African Republic),"Bokoto, Gbaya-Bossangoa, Gbaya-Bozoum, Gbaya-Mbodomo, Southwest Gbaya, Northwest Gbaya"
Gondi,"Aheri Gondi, Northern Gondi, Adilabad Gondi"
Grebo,"Northern Grebo, Gboloo Grebo, Southern Grebo, Central Grebo, Barclayville Grebo"
Guarani,"Western Bolivian Guaraní, Paraguayan Guaraní, Eastern Bolivian Guaraní, Mbyá Guaraní, Chiripá"
Haida,"Southern Haida, Northern Haida"
Serbo-Croatian,"Bosnian, Montenegrin, Croatian, Serbian"
Hmong,"Chuanqiandian Cluster Miao, Northern Qiandong Miao, Southern Mashan Hmong, Central Huishui Hmong, Large Flowery Miao, Eastern Huishui Hmong, Southwestern Guiyang Hmong, Southwestern Huishui Hmong, Northern Huishui Hmong, Ge, Luopohe Hmong, Central Mashan Hmong, Northern Mashan Hmong, Eastern Qiandong Miao, Southern Qiandong Miao, Western Mashan Hmong, Southern Guiyang Hmong, Hmong Shua, Hmong Njua, Horned Miao, Northern Guiyang Hmong, Western Xiangxi Miao, Eastern Xiangxi Miao, Hmong Daw, Small Flowery Miao"
Inuktitut,"Eastern Canadian Inuktitut, Inuinnaqtun"
Inupiaq,"North Alaskan Inupiatun, Northwest Alaska Inupiatun"
Judeo-Arabic,"Judeo-Moroccan Arabic, Judeo-Yemeni Arabic, Judeo-Iraqi Arabic, Judeo-Tripolitanian Arabic"
Kanuri,"Manga Kanuri, Central Kanuri, Tumari Kanuri"
Kalenjin,"Markweeta, Keiyo, Nandi, Okiek, Pökoot, Kipsigis, Sabaot, Terik, Tugen"
Konkani (macrolanguage),"Goan Konkani, Konkani (individual language)"
Komi,"Komi-Permyak, Komi-Zyrian"
Kongo,"Koongo, San Salvador Kongo, Laari"
Kpelle,"Guinea Kpelle, Liberia Kpelle"
Kurdish,"Central Kurdish, Northern Kurdish, Southern Kurdish"
Lahnda,"Southern Hindko, Northern Hindko, Jakati, Pahari-Potwari, Western Panjabi, Saraiki, Khetrani"
Latvian,"Latgalian, Standard Latvian"
Luyia,"Bukusu, Idakho-Isukha-Tiriki, Kabras, Khayo, Kisa, Marachi, Marama, Saamia, Tsotso, Tachoni, Wanga, East Nyala, Nyore, Logooli"
Mandingo,"Eastern Maninkakan, Konyanka Maninka, Western Maninkakan, Mandinka, Sankaran Maninka, Kita Maninkakan"
Malagasy,"Bara Malagasy, Northern Betsimisaraka Malagasy, Southern Betsimisaraka Malagasy, Masikoro Malagasy, Plateau Malagasy, Sakalava Malagasy, Tandroy-Mahafaly Malagasy, Tesaka Malagasy, Tanosy Malagasy, Antankarana Malagasy, Tsimihety Malagasy"
Mongolian,"Halh Mongolian, Peripheral Mongolian"
Malay (macrolanguage),"Banjar, Bacanese Malay, Berau Malay, Bukit Malay, Cocos Islands Malay, Duano, Haji, Indonesian, Jakun, Jambi Malay, Kubu, Kerinci, Brunei, Loncong, Lubu, Col, North Moluccan Malay, Kedah Malay, Pattani Malay, Bangka, Minangkabau, Kota Bangun Kutai Malay, Sabah Malay, Musi, Orang Kanaq, Orang Seletar, Pekal, Central Malay, Temuan, Urak Lawoi', Kaur, Tenggarong Kutai Malay, Manado Malay, Malay (individual language), Negeri Sembilan Malay, Standard Malay"
Marwari,"Dhundari, Mewari, Marwari (Pakistan), Marwari (India), Shekhawati, Merwari"
Nepali (macrolanguage),"Dotyali, Nepali (individual language)"
Norwegian,"Norwegian Nynorsk, Norwegian Bokmål"
Ojibwa,"Chippewa, Northwestern Ojibwa, Central Ojibwa, Eastern Ojibwa, Severn Ojibwa, Western Ojibwa, Ottawa"
Oriya (macrolanguage),"Odia, Sambalpuri"
Oromo,"Borana-Arsi-Guji Oromo, West Central Oromo, Eastern Oromo, Orma"
Pushto,"Southern Pashto, Northern Pashto, Central Pashto"
