aari.xls,Aari
abaza.xls,Abaza
abellen.xls,Abellen
abenaki.xls,Abenaki
abidji.xls,Abidji
abkhaz.xls,Abkhaz
abua.xlsx,Abua
abui.xls,Abui
acazulcootomi.xls,Acazulco Otomi
achagua.xls,Achagua
achang.xls,Achang
acehnese.xls,Acehnese
acheron.xls,Acheron
achi.xls,Achi
achiktokbirim.xls,A-chik Tokbirim
acholi.xls,Acholi
achuar-shiwiar.xls,Achuar-Shiwiar
achumawi.xls,Achumawi
adaizan.xls,Adaizan
adamaua.xls,Adamaua Fulfulde
adhola.xlsx,Adhola
adinkra.xls,Adinkra
adlam.xls,Adlam
adyghe.xls,Adyghe
adzera.xls,Adzera
afar.xls,Afar
afitti.xlsx,Afitti
afrikaans.xls,Afrikaans
aghul.xls,Aghul
aguaruna.xls,Aguaruna
agutaynen.xls,Agutaynen
ahamb.xls,Ahamb
ahanta.xls,Ahanta
ahmao.xls,A-Hmao
ahom.xls,Ahom
ahtna.xls,Ahtna
aima.xls,Aima (Koloma / Kokborok)
ainu.xls,Ainu
aiton.xls,Aiton
aiwoo.xls,Äiwoo
aja.xls,Aja
ajie.xls,Ajië
aka.xlsx,Aka
akajeru.xls,Aka-Jeru
akatek.xls,Akatek
akan.xls,Akan
akawaio.xls,Akawaio
akha.xlsx,Akha
akhvakh.xls,Akhvakh
akkadian.xls,Akkadian
akkalasami.xls,Akkala Sámi
aklan.xls,Aklan
akuapem.xlsx,Akuapem
akurio.xls,Akurio
alabama.xls,Alabama
alasha.xls,Alasha
albanian.xls,Albanian
alchemicalsymbols.xls,Alchemical symbols
aleut.xls,Aleut
aljamiado.xls,Aljamiado (Morisco)
alorese.xls,Alorese
alsatian.xls,Alsatian
altay.xls,Altay
alur.xls,Alur
alutiiq.xls,Alutiiq
alyawarr.xls,Alyawarr
alyutor.xls,Alyutor
amami.xls,Amami
amahuaca.xls,Amahuaca
amarakaeri.xls,Amarakaeri
ambai.xls,Ambai
ambala.xls,Ambala
amdotibetan.xls,Amdo Tibetan
amele.xls,Amele
amis.xls,Amis
amharic.xls,Amharic
amkoe.xlsx,ǂʼAmkoe
ancashquechua.xls,Ancash Quechua
andi.xls,Andi
andoa.xls,Andoa
aneityum.xls,Aneityum
angami.xls,Angami
angelic.xls,Angelic
angika.xls,Angika
oldenglish.xls,Anglo-Saxon / Old English
futhorc.xls,Anglo-Saxon Runes (Futhorc)
anuak.xlsx,Anuak
anuki.xls,Anuki
anutan.xls,Anutan
anyin.xls,Anyin
apache.xls,Apache
apatani.xlsx,Apatani
apma.xls,Apma
apurina.xls,Apurinã
arabela.xls,Arabela
arabic_algeria.xls,Arabic (Algerian)
arabic_bedawi.xls,Arabic (Bedawi)
arabic_chadian.xls,Arabic (Chadian)
arabic_cypriot.xls,Arabic (Cypriot)
arabic_egyptian.xls,Arabic (Egyptian)
arabic_gulf.xls,Arabic (Gulf)
arabic_hassaniya.xls,Arabic (Hassaniya)
arabic_hejazi.xls,Arabic (Hejazi)
arabic_lebanese.xls,Arabic (Lebanese)
arabic_libyan.xls,Arabic (Libyan)
arabic_msa.xls,Arabic (Modern Standard)
arabic_morocco.xls,Arabic (Moroccan)
arabic_sudanese.xlsx,Arabic (Sudanese)
arabic_syrian.xls,Arabic (Syrian)
arabic_tunisian.xls,Arabic (Tunisian)
aragonese.xls,Aragonese
arakanese.xls,Arakanese
araki.xls,Araki
aramaic.xls,"Aramaic (Early Aramaic, Imperial Aramaic, Aramaic Square script, Chaldean Neo-Aramaic, Jewish Neo-Aramaic, Turoyo, Western Neo-Aramaic)"
aranese.xls,Aranese
arapaho.xls,Arapaho
arawak.xls,Arawak
archi.xls,Archi
arvanitic.xls,Arvanitic
are.xls,Are
areare.xls,ꞌAreꞌare
arhuaco.xls,Arhuaco
arikara.xls,Arikara
aringa.xls,Aringa
ariyaka.xls,Ariyaka
armenian.xls,Armenian
armenoturkish.xls,Armeno-Turkish
aromanian.xls,Aromanian
arosi.xls,Arosi
arrernte.xls,Arrernte
arta.xls,Arta
arwi.xls,Arwi
ashaninka.xls,Asháninka
asheninka.xls,Ashéninka
assamese.xls,Assamese
neoassyrian.xls,Assyrian Neo-Aramaic
asturian.xls,Asturian
atayal.xls,Atayal
ateso.xls,Ateso
athpare.xls,Athpare
atikamekw.xls,Atikamekw
atlantean.xls,Atlantean
atong.xls,Atong
auhelawa.xls,ʼAuhelawa
aurebesh.xlsx,Aurebesh
aushi.xlsx,Aushi
auvergnat.xls,Auvergnat
avar.xls,Avar
avatime.xls,Avatime
avava.xls,Avava
avestan.xls,Avestan
avokaya.xls,Avokaya
awadhi.xls,Awadhi
awakatek.xls,Awakatek
awapit.xls,Awa Pit
awara.xls,Awara
awing.xls,Awing
ayacuchoquechua.xls,Ayacucho Quechua
ayizo.xls,Ayizo
aymara.xls,Aymara
aynu.xls,Äynu
ayoreo.xlsx,Ayoreo
azeri.xls,Azerbaijani
babatana.xls,Babatana
babine.xls,Babine-Witsuwit'en
badaga.xls,Badaga
bade.xls,Bade
baduy.xlsx,Baduy
bafanji.xls,Bafanji
bafaw-balong.xlsx,Bafaw-Balong
bagirmi.xlsx,Bagirmi
bagri.xls,Bagri
bagvalal.xls,Bagvalal
bahing.xls,Bahing
bahnar.xlsx,Bahnar
bai.xls,Bai
bajaw.xls,Bajaw
baka.xls,Baka
bakairi.xls,Bakairi
bakati.xlsx,Bakatiʼ
balangao.xls,Balangao
balantaganja.xls,Balanta-Ganja
balantakentohe.xls,Balanta-Kentohe
balantak.xls,Balantak
balinese.xls,Balinese
balti.xls,Balti
baltia.xls,Balti-A script
baltib.xls,Balti_B script
bambalang.xlsx,Bambalang
bambam.xls,Bambam
bambara.xls,Bambara
bambassi.xls,Bambassi
bamum.xls,Bamum
bamunka.xls,Bamunka
bana.xlsx,Bana
bandial.xls,Bandial
banggai.xlsx,Banggai
bangi.xls,Bangi
baniwa.xls,Baniwa
guainia.xls,Baniwa of Guainía
banjarese.xls,Banjarese
bantawa.xls,Bantawa
bantayanon.xls,Bantayanon
bantik.xls,Bantik
bantoanon.xls,Bantoanon
baoule.xls,Baoulé
barai.xls,Barai
barbareno.xls,Barbareño
bardi.xls,Bardi
barein.xls,Barein
bari.xls,Bari
bariai.xlsx,Bariai
bariba.xls,Bariba
barin.xls,Barin
bashkir.xls,Bashkir
basque.xls,Basque
bassa.xls,Bassa
bassari.xls,Bassari
batak.xls,Batak
batakangkola.xls,Batak Angkola
batakdairi.xls,Batak Dairi
batakkaro.xls,Batak Karo
batakmandailing.xls,Batak Mandailing
bataksimalungun.xls,Batak Simalungun
bataktoba.xls,Batak Toba
batsbi.xls,Batsbi
batuley.xls,Batuley
baure.xls,Baure
bawm.xlsx,Bawm
baybayanon.xls,Baybayanon
beami.xlsx,Beami
beary.xls,Beary
beembe.xlsx,Beembe
vithkuqi.xls,Beitha Kukju / Veithkuqi
beja.xls,Beja
belait.xlsx,Belait
belandabor.xlsx,Belanda Bor
belandaviri.xlsx,Belanda Viri
belarusian.xls,Belarusian
belhare.xls,Belhare
beli.xls,Beli
bemba.xls,Bemba
bena.xls,Bena
bench.xls,Bench
benga.xls,Benga
bengali.xls,Bengali
bengkulu.xls,Bengkulu
berba.xls,Berba
berom.xls,Berom
betawi.xls,Betawi
bezhta.xls,Bezhta
bhaca.xls,Bhaca
bhaiksuki.xls,Bhaiksuki
bhili.xls,Bhili
bhojpuri.xls,Bhojpuri
bhumij.xls,Bhumij
biak.xlsx,Biak
biatah.xlsx,Biatah
biete.xls,Biete
bignumbas.xls,Big Numbas
bikol.xls,Bikol
bila.xlsx,Bila
bilaspuri.xls,Bilaspuri
biloxi.xls,Biloxi
bilua.xls,Bilua
bima.xls,Bima
bimin.xlsx,Bimin
bininjkunwok.xls,Bininj Kunwok
binukid.xls,Binukid
binumarien.xls,Binumarien
birifor-northern.xls,Birifor (Northern)
birifor-southern.xls,Birifor (Southern)
bishnupriyamanipuri.xls,Bishnupriya Manipuri
bislama.xls,Bislama
bissa.xlsx,Bissa
bisu.xls,Bisu
blaan.xls,Blaan
blackfoot.xls,Blackfoot
blagar.xls,Blagar
blin.xls,Blin
bola.xls,Bola
bole.xls,Bole
bodo.xls,Bodo
boko.xls,Boko
bolinao.xls,Bolinao
bolyu.xls,Bolyu
bonggi.xls,Bonggi
bongo.xls,Bongo
bontoc.xls,Bontoc
bora.xls,Bora
bori.xlsx,Bori
borong.xls,Borong
borgu.xls,Borgu Fulfulde
bosnian.xls,Bosnian
botlikh.xls,Botlikh
botolan.xls,Botolan
bouyei.xls,Bouyei
brahmi.xls,Brahmi
brahui.xls,Brahui
braj.xls,Braj
brao.xlsx,Brao
breton.xls,Breton
bribri.xls,Bribri
bruneimalay.xlsx,Brunei Malay
bube.xlsx,Bube
budu.xlsx,Budu
bugan.xls,Bugan
bugis.xls,Bugis(nese)
bugkalot.xls,Bugkalot
buglere.xlsx,Buglere
buhid.xls,Buhid
buhutu.xls,Buhutu
bujeba.xlsx,Bujeba
bukar-sadong.xlsx,Bukar–Sadong
bukid.xls,Bukid
bukiyip.xlsx,Bukiyip
bukusu.xls,Bukusu
bulgarian.xls,Bulgarian
bulu.xls,Bulu
bunak.xls,Bunak
bundjalung.xls,Bundjalung
bungku.xls,Bungku
bunun.xls,Bunun
buol.xls,Buol
burarra.xls,Burarra
burmese.xls,Burmese
burum.xlsx,Burum
burushaski.xls,Burushaski
busa.xls,Busa
bushi.xls,Bushi
bushong.xls,Bushong
butuanon.xls,Butuanon
bwaidoka.xls,Bwaidoka
caac.xls,Caac
cabecar.xls,Cabécar
caddo.xls,Caddo
cajamarcaquechua.xls,Cajamarca Quechua
calo.xls,Caló
caluyanon.xls,Caluyanon
cas.xls,Canadian Aboriginal Syllabics
candoshishapra.xls,Candoshi-Shapra
capeverdeancreole.xls,Cape Verdean Creole
capiznon.xls,Capiznon
caquinte.xls,Caquinte
carapana.xls,Carapana
carian.xls,Carian
carib.xls,Carib
carijona.xls,Carijona
carrier.xls,Carrier
casiguran.xls,Casiguran Dumagat Agta
catalan.xls,Catalan
catio.xls,Catio
caucasianalbanian.xls,Caucasian Albanian
cayuga.xls,Cayuga
cebaara.xls,Cebaara
cebuano.xls,Cebuano
cemuhi.xls,Cèmuhî
centraldusun.xlsx,Central Dusun
centralkilimanjaro.xlsx,Central Kilimanjaro
centralteke.xls,Central Teke
chagatai.xls,Chagatai
chakhar.xls,Chakhar
chakma.xls,Chakma
chakosi.xls,Chakosi
chamacoco.xlsx,Chamacoco
chamalal.xls,Chamalal
chambeali.xls,Chambeali
chami.xlsx,Chami
chamicuro.xls,Chamicuro
chamorro.xls,Chamorro
chana.xls,Chaná
chang.xls,Chang
chapalaa.xls,Cha'palaa(chi)
chatino.xls,Chatino
chaura.xls,Chaura
chavacano.xls,Chavacano
chayahuita.xls,Chayahuita
chechen.xls,Chechen
chekeholo.xls,Cheke Holo
chelkan.xls,Chelkan
cherepon.xlsx,Cherepon
cherokee.xls,Cherokee
chhantyal.xls,Chhantyal
chhattisgarhi.xls,Chhattisgarhi
chicahuaxtlatriqui.xls,Chicahuaxtla Triqui
chichewa.xls,Chichewa
chickasaw.xls,Chickasaw
chilcotin.xls,Chilcotin
chimalapazoque.xls,Chimalapa Zoque
chinook.xls,Chinook
chippewa.xls,Chippewa
chinateco.xls,Chinanteco
cantonese.xls,Chinese (Cantonese)
hakka.xls,Chinese (Hakka)
mandarin.xls,Chinese (Mandarin)
taiwanese.xls,Chinese (Taiwanese)
taiwanesehakka.xls,Chinese (Taiwanese Hakka)
xiang.xls,Chinese (Xiang)
chipewyan.xls,Chipewyan
chiru.xlsx,Chiru
chitimacha.xls,Chitimacha
chittagonian.xls,Chittagonian
chochangacha.xls,Chocha Ngacha
choctaw.xls,Choctaw
chokwe.xls,Chokwe
chol.xls,Chʼol
choni.xls,Choni
chontalmaya.xls,Chontal Maya
chorasmian.xls,Chorasmian
chorti.xls,Chorti
chrau.xls,Chrau
chru.xls,Chru
chukchansi.xls,Chukchansi
chukchi.xls,Chukchi
chulym.xls,Chulym
chumburung.xls,Chumburung
chungliao.xls,Chungli Ao
chuukese.xls,Chuukese
chuvash.xls,Chuvash
cipu.xls,Cipu
cistercian-numbers.xls,Cistercian Numbers
coastalkadazan.xlsx,Coastal Kadazan
coatzospanmixtec.xls,Coatzospan Mixtec
cocama.xls,Cocama
coeurdalene.xls,Coeur d'Alene
cofan.xls,Cofán
comanche.xls,Comanche
comorian.xls,Comorian
comox.xls,Comox
copalatriqui.xls,Copala Triqui
coptic.xls,Coptic
cora.xls,Cora
cornish.xls,Cornish
corsican.xls,Corsican
cree.xls,Cree syllabics
eastcree.xls,Cree (East)
moosecree.xls,Cree (Moose)
plainscree.xls,Cree (Plains)
swampycree.xls,Cree (Swampy)
woodscree.xls,Cree (Woods)
crimeantatar.xls,Crimean Tatar
croatian.xls,Croatian
cumbraec.xls,Cumbric
curripaco.xls,Curripaco
cuzcoquechua.xls,Cuzco Quechua
cypriot.xls,Cyriot Syllabary
cyrillic.xls,Cyrillic script
czech.xls,Czech
daakaka.xls,Daakaka
daasanach.xls,Daasanach
dadibi.xls,Dadibi
daga.xls,Daga
dagaare.xls,Dagaare
dagbani.xls,Dagbani
dajumongo.xlsx,Daju Mongo
dakota.xls,Dakota
dan.xls,Dan
dannanshanmiao.xls,Dananshan Miao
beaver.xls,Dane-zaa (Beaver)
dangaleat.xls,Dangaléat
dangme.xls,Dangme
danish.xls,Danish
danwar.xls,Danwar
darmiya.xls,Darmiya
datooga.xlsx,Datooga
daur.xls,Daur
daza.xls,Daza
dciriku.xlsx,Dciriku
defaka.xlsx,Defaka
degema.xlsx,Degema
degxinag.xls,Deg Xinag
dehongdai.xls,Dehong Dai / Tai Le
dengebu.xls,Dengebu
denaina.xls,Denaʼina
desano.xls,Desano
dhankari.xls,Dhankari
dharawal.xls,Dharawal
dhatki.xls,Dhatki
dhimal.xls,Dhimal
dhundari.xls,Dhundari
digaro.xls,Digaro Mishmi
digo.xlsx,Digo
dilling.xlsx,Dilling
dinka.xls,Dinka
dirasha.xlsx,Dirasha
ditidaht.xls,Ditidaht
diyari.xls,Diyari
djabugay.xlsx,Djabugay
djinang.xls,Djinang
dogra.xls,Dogra
domari.xls,Domari
dominicancreole.xls,Dominican Creole French
dorig.xls,Dorig
doteli.xls,Doteli
drehu.xls,Drehu
drung.xls,Drung
duala.xls,Duala
dumi.xls,Dumi
dungan.xls,Dungan
dupaningan.xls,Dupaningan
duri.xls,Duri
dutch.xls,Dutch
dzongkha.xls,Dzongkha
ebira.xlsx,Ebira
efik.xls,Efik
egene.xlsx,Egene
hieroglyphs.xls,Egytian Hieroglyphs
ekokakung.xls,Ekoka ǃKung
ekpeye.xlsx,Ekpeye
elbasan.xls,Elbasan
elymaic.xls,Elymaic
emae.xls,Emae
emerillon.xls,Emerillon
enawenawe.xlsx,Enawene Nawe
ende.xls,Ende
enets.xls,Enets
enggano.xlsx,Enggano
english.xls,English
enindhilyagwa.xls,Enindhilyagwa
eperara.xls,Eperara
erromintxela.xls,Erromintxela
erzya.xls,Erzya
esan.xlsx,Esan
esimbi.xls,Esimbi
esperanto.xls,Esperanto
estonian.xls,Estonian
eton.xls,Eton
etruscan.xls,Etruscan
even.xls,Even
evenki.xls,Evenki
ewe.xls,Ewe
ewondo.xls,Ewondo
eyak.xls,Eyak
falam.xls,Falam
fanagalo.xls,Fanagalo
fang.xls,Fang
fante.xls,Fante
faroese.xls,Faroese
fataluku.xlsx,Fataluku
fefe.xls,Feʼfeʼ
fijihindi.xls,Fiji Hindi
finnishkalo.xls,Finnish Kalo
folkspraak.xls,Folkspraak
fon.xls,Fon
foodo.xls,Foodo
fordata.xls,Fordata
fox.xls,Fox
frafra.xls,Frafra
fraktur.xls,Fraktur
guyanais.xls,French Guianese Creole
eastfrisian.xls,Frisian (East)
frisian-west.xls,Frisian (West)
fula.xls,Fula(ni)
fuliiru.xlsx,Fuliiru
futuna-aniwa.xls,Futuna-Aniwa
futunan.xls,Futunan
fuyukyrgyz.xls,Fuyu Kyrgyz
fuzhounese.xls,Fuzhounese
fwe.xlsx,Fwe
ga.xls,Ga
gaam.xlsx,Gaam
gaddang.xls,Gaddang
gaddi.xls,Gaddi
gagauz.xls,Gagauz
galela.xls,Galela
galician.xls,Galician
gallo.xls,Gallo
galo.xls,Galo
galoli.xls,Galoli
gamilaraay.xls,Gamilaraay
gan.xls,Gan
garawa.xls,Garawa
garifuna.xls,Garifuna
garhwali.xls,Garhwali
gawar.xls,Gawar
gawarbati.xls,Gawar-Bati
gascon.xls,Gascon
gaulish.xls,Gaulish
gawri.xls,Gawri
gawwada.xls,Gawwada
gayo.xls,Gayo
gela.xls,Gela
gen.xls,Gen
generalchinese.xls,General Chinese
genoese.xls,Genoese
georgian.xls,Georgian
german.xls,German
ghadames.xls,Ghadamès
ghari.xls,Ghari
ghomala.xls,Ghomalaʼ
ghomara.xls,Ghomara
ghulfan.xlsx,Ghulfan
gija.xls,Gija
giryama.xlsx,Giryama
gitxsan.xls,Gitxsan
glagolitic.xls,Glagolitic
glosa.xlsx,Glosa
godie.xls,Godié
godoberi.xls,Godoberi
goemai.xls,Goemai
gogo.xls,Gogo
gondi.xls,Gondi
gonja.xls,Gonja
gooniyandi.xls,Gooniyandi
goral.xls,Goral
gorontalo.xls,Gorontalo
gothic.xls,Gothic
gottscheerish.xls,Gottscheerish
gourmanchema.xls,Gourmanchéma
goykanadi.xls,Goykanadi
grantha.xls,Grantha
greek.xls,Greek
greenlandic.xls,Greenlandic
griko.xls,Griko
gronings.xls,Gronings
guadeloupean.xls,Guadeloupean Creole
guambiano.xls,Guambiano
gunjalagondi.xls,Gunjala Gondi
guanano.xls,Guanano
guarani.xls,Guaraní
guaymi.xls,Guaymí
guere.xls,Guere
guernesiais.xls,Guernésiais
gugadja.xls,Gugadja / Kukatja
gui.xls,Gǀui
guineabissaucreole.xls,Guinea-Bissau Creole
gujarati.xls,Gujarati
gumuz.xls,Gumuz
gun.xlsx,Gun
guna.xlsx,Guna
gurmukhi.xls,Gurmukhi
guro.xlsx,Guro
gurung.xls,Gurung
gussi.xls,Gusii
guuguyalandji.xls,Guugu Yalandji
guuguyimithirr.xls,Guugu Yimithirr
gwere.xls,Gwere
gwichin.xls,
hadza.xls,Hadza
haida.xls,Haida
haisla.xls,Haisla
haitiancreole.xls,Haitian Creole
hajong.xls,Hajong
hakha.xls,Hakha
hakka.xls,Hakka
han.xls,Hän
halkomelem.xls,Halkomelem
hamer.xls,Hamer
hamtai.xlsx,Hamtai
hangunol.xls,Hanguñol
hani.xls,Hani
hanifi.xls,Hanifi Rohingya
hanunoo.xls,Hanunó'o
harari.xls,Harari
haroi.xls,Haroi
haryanvi.xls,Haryanvi
hatangkayi.xls,Hatang Kayi
hatran.xls,Hatran
hawaiian.xls,Hawaiian
hawu.xls,Hawu
haya.xls,Haya
hazaragi.xls,Hazaragi
hdi.xlsx,Hdi
hehe.xlsx,Hehe
heiltsuk.xls,Heiltsuk
helong.xlsx,Helong
herero.xlsx,Herero
hidatsa.xls,Hidatsa
hadiyya.xls,Hadiyya
hiligaynon.xls,Hiligaynon
hillmiri.xlsx,Hill Miri
hindi.xls,hindi
hinukh.xls,Hinukh
hirimotu.xls,Hiri Motu
hittite.xls,Hittite
hiw.xls,Hiw
hixkaryana.xls,Hixkaryána
hmar.xls,Hmar
hmongdau.xls,Hmong Dau
hmongnjua.xls,Hmong Njau
hmu.xls,Hmu
hoava.xls,Hoava
hopi.xls,Hopi
huambisa.xls,Huambisa
huarijio.xls,Huarijio
huasteco.xls,Huasteco
huayllawancaquechua.xls,Huaylla Wanca Quechua
huehuetlatepehua.xls,Huehuetla Tepehua
huichol.xls,Huichol
huilliche.xls,Huilliche
