Language Names	ISO-639-3 Code	Ref_Name
Chinese (Cantonese), Cantonese (honji)	yue	Yue Chinese
Chinese (Dungan), Dungan	dng	Dungan
Chinese (Jian'ou), Jian'ou	mnp	Min Bei Chinese
Chinese (Mandarin), Chinese	cmn	Mandarin Chinese
Chinese (Taiwanese), Taiwanese	nan	Min Nan Chinese
Chinese (Taiwanese Hakka), Taiwanese Hakka	hak	Hakka Chinese
Chinese (Wenzhounese), Wenzhounese	wuu	Wu Chinese
Abellen	abp	Abellen Ayta
Abenaki
Abidji	abi	Abidji
Aborlan Tagbanwa	tbw	Tagbanwa
Abua	abn	Abua
Abui	abz	Abui
Acazulco Otomi
Acehnese	ace	Achinese
Achagua	aca	Achagua
Achang	acn	Achang
Acheron	acz	Acheron
Achi	acr	Achi
Acholi	ach	Acoli
Achuar-Shiwiar	acu	Achuar-Shiwiar
Achumawi	acv	Achumawi
Adele	ade	Adele
Adhola	adh	Adhola
Adyghe	ady	Adyghe
Adzera	adz	Adzera
Afar	aar	Afar
Afitti	aft	Afitti
Aghul	agx	Aghul
Aguaruna	agr	Aguaruna
Agutaynen	agn	Agutaynen
Ahamb	ahb	Axamb
Ahanta	aha	Ahanta
Ahtna	aht	Ahtena
Aiton	aio	Aiton
Äiwoo	nfl	Ayiwo
Aja	ajg	Aja (Benin)
Ajië	aji	Ajië
Aka
Aka-Jeru	akj	Aka-Jeru
Akan	aka	Akan
Akatek	knj	Western Kanjobal
Akawaio	ake	Akawaio
Akhvakh	akv	Akhvakh
Saami (Akkala), Akkala Sámi	sia	Akkala Sami
Aklan	akl	Aklanon
Akurio	ako	Akurio
Alabama	akz	Alabama
Alasha	mvf	Peripheral Mongolian
Algonquin	alq	Algonquin
Alorese	aol	Alor
Alsatian	gsw	Swiss German
Alur	alz	Alur
Alutiiq	ems	Pacific Gulf Yupik
Alyawarr	aly	Alyawarr
Alyutor	alr	Alutor
Amahuaca	amc	Amahuaca
Amami
Amarakaeri	amr	Amarakaeri
Amarasi	aaz	Amarasi
Ambai	amk	Ambai
Ambala	abc	Ambala Ayta
Ambel	amv	Ambelau
Quechua (Ambo-Pasco), Ambo-Pasco Quechua	qva	Ambo-Pasco Quechua
Amdo Tibetan	adx	Amdo Tibetan
Amele	aey	Amele
Amharic	amh	Amharic
Amis	ami	Amis
ǂʼAmkoe (ǂHoan)	huc	ǂHua
Quechua (Ancash), Ancash Quechua
Andi	ani	Andi
Andoa	anb	Andoa
Andoque	ano	Andoque
Aneityum	aty	Aneityum
Angami	njm	Angami Naga
Angika	anp	Angika
Anii	blo	Anii
Anindilyakwa	aoi	Anindilyakwa
Anuak	anu	Anuak
Anuki	aui	Anuki
Anutan	aud	Anuta
Anyin	any	Anyin
Apache (Western)	apw	Western Apache
Apatani	apt	Apatani
Apma	app	Apma
Apurinã	apu	Apurinã
Arabela	arl	Arabela
Arabic (Algerian)	arq	Algerian Arabic
Arabic (Bedawi)	avl	Eastern Egyptian Bedawi Arabic
Arabic (Chadian)	shu	Chadian Arabic
Arabic (Egyptian)	arz	Egyptian Arabic
Arabic (Gulf)	afb	Gulf Arabic
Arabic (Hassaniya)	mey	Hassaniyya
Arabic (Hejazi)	acw	Hijazi Arabic
Arabic (Libyan)	ayl	Libyan Arabic
Arabic (Moroccan)	ary	Moroccan Arabic
Arabic (Najdi)	ars	Najdi Arabic
Arabic (Sudanese)	apd	Sudanese Arabic
Arabic (Syrian)	apc	Levantine Arabic
Arabic (Tunisian)	aeb	Tunisian Arabic
Aragonese	arg	Aragonese
Arakanese	rki	Rakhine
Araki	akr	Araki
Aranese	oci	Occitan (post 1500)
Arapaho	arp	Arapaho
Arawak	arw	Arawak
Arbëresh	aae	Arbëreshë Albanian
Archi	aqc	Archi
Are	mwc	Are
ꞌAreꞌare	alu	'Are'are
Argobba	agj	Argobba
Arhuaco	arh	Arhuaco
Arikara	ari	Arikara
Aringa	luc	Aringa
Arosi	aia	Arosi
Arrernte
Arta	atz	Arta
Asháninka	cni	Asháninka
Ashéninka
Assiniboine	asb	Assiniboine
Asturian	ast	Asturian
Atayal	tay	Atayal
Ateso	teo	Teso
Athpare	aph	Athpariya
Atikamekw	atj	Atikamekw
ʼAuhelawa	kud	'Auhelawa
Aushi	auh	Aushi
Austral	aut	Austral
