frequency,absolute_url_path,fragment,combination_signature,sources
1,/writing/blackfoot.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Blackfoot | writing.csv:Blackfoot | langalphSingle.csv:Blackfoot | langalphMap.json:Blackfoot_using_Canadian Aboriginal Syllabics | langalphMap.json:Blackfoot_using_Latin / Roman
1,/writing/dhivesakuru.htm,,"{'writing.csv:writing_system': 2, 'langalphSingle.csv:writing_system': 2}",writing.csv:Dives Akuru | writing.csv:Evēla Akuru | langalphSingle.csv:Dhives Akuru | langalphSingle.csv:Evela Akuru
1,/writing/egyptian.htm,,"{'writing.csv:writing_system': 2, 'langalphSingle.csv:writing_system': 1}",writing.csv:Ancient Egyptian (Hieroglyphs) | writing.csv:Hieroglyphs (Egyptian) | langalphSingle.csv:Ancient Egyptian Hieroglyphic
1,/writing/gurmukhi.htm,,{'langalphMap.json:writing_system': 1},langalphMap.json:Gurmukhi_for_4_languages
1,/writing/iberian.htm,,"{'language.csv:language': 2, 'writing.csv:writing_system': 1, 'langalphSingle.csv:writing_system': 1}",language.csv:Iberian | language.csv:Lusitanian | writing.csv:Iberian | langalphSingle.csv:Iberian
1,/writing/korean.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 2, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 2, 'langalphMap.json:writing_system': 1}",language.csv:Korean | writing.csv:Hangeul (Korean) | writing.csv:Korean (Hangeul) | langalphSingle.csv:Korean (Hangeul) | langalphMap.json:Korean (hanja)_using_Chinese | langalphMap.json:Hangeul_for_3_languages | langalphMap.json:Korean_using_Hangeul
1,/writing/mongolian.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:language': 4, 'langalphMap.json:writing_system': 1}",language.csv:Mongolian | writing.csv:Mongolian | langalphMap.json:Mongolian_using_Cyrillic | langalphMap.json:Mongolian_for_9_languages | langalphMap.json:Mongolian_using_Mongolian | langalphMap.json:Mongolian_using_Phags-pa | langalphMap.json:Mongolian_using_Soyombo
1,/writing/orkhon.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 2, 'langalphSingle.csv:writing_system': 1}",language.csv:Old Turkic / Orkhon | writing.csv:Old Turkic (Orkhon / Yenisei) | writing.csv:Yenisei (Old Turkic) | langalphSingle.csv:Orkhon / Old Turkic
1,/writing/sahaptin.htm,,"{'language.csv:language': 4, 'langalphMap.json:language': 1}",language.csv:Sahaptin | language.csv:Teino | language.csv:Umatilla | language.csv:Walla Walla | langalphMap.json:Sahaptin_using_Latin / Roman
1,/writing/sanskrit.htm,,"{'language.csv:language': 1, 'langalphMap.json:language': 5}",language.csv:Sanskrit | langalphMap.json:Sanskrit_using_Devanagari | langalphMap.json:Sanskrit_using_Gurmukhi | langalphMap.json:Sanskrit_using_Phags-pa | langalphMap.json:Sanskrit_using_Sharda | langalphMap.json:Sanskrit_using_Soyombo
1,/writing/southarabian.htm,,"{'language.csv:language': 3, 'writing.csv:writing_system': 1}",language.csv:Hadhramautic | language.csv:Himyaritic | language.csv:Qatabanic | writing.csv:South Arabian
1,/writing/tangut.htm,,"{'language.csv:language': 2, 'writing.csv:writing_system': 2, 'langalphSingle.csv:writing_system': 1}",language.csv:Hsihsia | language.csv:Tangut (Xi-Xia) | writing.csv:Tangut (Hsihsia) | writing.csv:Xixia (Tangut) | langalphSingle.csv:Tangut
1,/writing/tibetan.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:language': 3, 'langalphMap.json:writing_system': 1}",language.csv:Tibetan | writing.csv:Tibetan | langalphMap.json:Tibetan_using_Phags-pa | langalphMap.json:Tibetan_using_Soyombo | langalphMap.json:Tibetan_for_15_languages | langalphMap.json:Tibetan_using_Tibetan
1,/writing/zhuang.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 2, 'langalphMap.json:language': 1}",language.csv:Zhuang | writing.csv:Sawndip (Old Zhuang) | writing.csv:Zhuang (話僮 / Sawndip) | langalphMap.json:Zhuang_using_Latin / Roman
2,/writing/armenian.htm,,"{'language.csv:language': 2, 'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Armenian (Eastern) | language.csv:Armenian (Western) | writing.csv:Armenian | langalphMap.json:Armenian_for_2_languages | langalphMap.json:Armenian (Eastern and Western)_using_Armenian
2,/writing/bassa.htm,,"{'language.csv:language': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 2}",language.csv:Bassa | langalphSingle.csv:Bassa (Vah) | langalphMap.json:Bassa_using_Latin / Roman | langalphMap.json:Bassa_using_Latin / Roman
2,/writing/chunom.htm,,"{'writing.csv:writing_system': 1, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 1}",writing.csv:Chữ-nôm | langalphSingle.csv:Chữ-nôm | langalphMap.json:Vietnamese (chữ-nôm)_using_Chinese
2,/writing/khmer.htm,,"{'language.csv:language': 2, 'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 1}",language.csv:Cambodian (Khmer) | language.csv:Khmer | writing.csv:Khmer | langalphMap.json:Khmer_for_2_languages | langalphMap.json:Khmer_using_Khmer
