Macro_Id	Macro_Name	Individual_Id	Individual_Name	Status
aka	Akan	fat	Fanti	A
aka	Akan	twi	Twi	A
ara	Arabic	aao	Algerian Saharan Arabic	A
ara	Arabic	abh	Tajiki Arabic	A
ara	Arabic	abv	Baharna Arabic	A
ara	Arabic	acm	Mesopotamian Arabic	A
ara	Arabic	acq	Ta'izzi-Adeni Arabic	A
ara	Arabic	acw	Hijazi Arabic	A
ara	Arabic	acx	Omani Arabic	A
ara	Arabic	acy	Cypriot Arabic	A
ara	Arabic	adf	Dhofari Arabic	A
ara	Arabic	aeb	Tunisian Arabic	A
ara	Arabic	aec	Saidi Arabic	A
ara	Arabic	afb	Gulf Arabic	A
ara	Arabic	apc	Levantine Arabic	A
ara	Arabic	apd	Sudanese Arabic	A
ara	Arabic	arb	Standard Arabic	A
ara	Arabic	arq	Algerian Arabic	A
ara	Arabic	ars	Najdi Arabic	A
ara	Arabic	ary	Moroccan Arabic	A
ara	Arabic	arz	Egyptian Arabic	A
ara	Arabic	auz	Uzbeki Arabic	A
ara	Arabic	avl	Eastern Egyptian Bedawi Arabic	A
ara	Arabic	ayh	Hadrami Arabic	A
ara	Arabic	ayl	Libyan Arabic	A
ara	Arabic	ayn	Sanaani Arabic	A
ara	Arabic	ayp	North Mesopotamian Arabic	A
ara	Arabic	pga	Sudanese Creole Arabic	A
ara	Arabic	shu	Chadian Arabic	A
ara	Arabic	ssh	Shihhi Arabic	A
aym	Aymara	ayc	Southern Aymara	A
aym	Aymara	ayr	Central Aymara	A
aze	Azerbaijani	azb	South Azerbaijani	A
aze	Azerbaijani	azj	North Azerbaijani	A
bal	Baluchi	bcc	Southern Balochi	A
bal	Baluchi	bgn	Western Balochi	A
bal	Baluchi	bgp	Eastern Balochi	A
bik	Bikol	bcl	Central Bikol	A
bik	Bikol	bln	Southern Catanduanes Bikol	A
bik	Bikol	bto	Rinconada Bikol	A
bik	Bikol	cts	Northern Catanduanes Bikol	A
bik	Bikol	fbl	West Albay Bikol	A
bik	Bikol	lbl	Libon Bikol	A
bik	Bikol	rbl	Miraya Bikol	A
bik	Bikol	ubl	Buhi'non Bikol	A
bnc	Bontok	ebk	Eastern Bontok	A
bnc	Bontok	lbk	Central Bontok	A
bnc	Bontok	obk	Southern Bontok	A
bnc	Bontok	rbk	Northern Bontok	A
bnc	Bontok	vbk	Southwestern Bontok	A
bua	Buriat	bxm	Mongolia Buriat	A
bua	Buriat	bxr	Russia Buriat	A
bua	Buriat	bxu	China Buriat	A
chm	Mari (Russia)	mhr	Eastern Mari	A
chm	Mari (Russia)	mrj	Western Mari	A
cre	Cree	crj	Southern East Cree	A
cre	Cree	crk	Plains Cree	A
cre	Cree	crl	Northern East Cree	A
cre	Cree	crm	Moose Cree	A
cre	Cree	csw	Swampy Cree	A
cre	Cree	cwd	Woods Cree	A
del	Delaware	umu	Munsee	A
del	Delaware	unm	Unami	A
den	Slave (Athapascan)	scs	North Slavey	A
den	Slave (Athapascan)	xsl	South Slavey	A
din	Dinka	dib	South Central Dinka	A
din	Dinka	dik	Southwestern Dinka	A
din	Dinka	dip	Northeastern Dinka	A
din	Dinka	diw	Northwestern Dinka	A
din	Dinka	dks	Southeastern Dinka	A
doi	Dogri (macrolanguage)	dgo	Dogri (individual language)	A
doi	Dogri (macrolanguage)	xnr	Kangri	A
est	Estonian	ekk	Standard Estonian	A
est	Estonian	vro	Võro	A
fas	Persian	pes	Iranian Persian	A
fas	Persian	prs	Dari	A
ful	Fulah	ffm	Maasina Fulfulde	A
ful	Fulah	fub	Adamawa Fulfulde	A
ful	Fulah	fuc	Pulaar	A
ful	Fulah	fue	Borgu Fulfulde	A
ful	Fulah	fuf	Pular	A
ful	Fulah	fuh	Western Niger Fulfulde	A
ful	Fulah	fui	Bagirmi Fulfulde	A
ful	Fulah	fuq	Central-Eastern Niger Fulfulde	A
ful	Fulah	fuv	Nigerian Fulfulde	A
gba	Gbaya (Central African Republic)	bdt	Bokoto	A
gba	Gbaya (Central African Republic)	gbp	Gbaya-Bossangoa	A
gba	Gbaya (Central African Republic)	gbq	Gbaya-Bozoum	A
gba	Gbaya (Central African Republic)	gmm	Gbaya-Mbodomo	A
gba	Gbaya (Central African Republic)	gso	Southwest Gbaya	A
gba	Gbaya (Central African Republic)	gya	Northwest Gbaya	A
gon	Gondi	esg	Aheri Gondi	A
gon	Gondi	gno	Northern Gondi	A
gon	Gondi	wsg	Adilabad Gondi	A
grb	Grebo	gbo	Northern Grebo	A
grb	Grebo	gec	Gboloo Grebo	A
grb	Grebo	grj	Southern Grebo	A
grb	Grebo	grv	Central Grebo	A
grb	Grebo	gry	Barclayville Grebo	A
grn	Guarani	gnw	Western Bolivian Guaraní	A
grn	Guarani	gug	Paraguayan Guaraní	A
grn	Guarani	gui	Eastern Bolivian Guaraní	A
grn	Guarani	gun	Mbyá Guaraní	A
grn	Guarani	nhd	Chiripá	A
hai	Haida	hax	Southern Haida	A
hai	Haida	hdn	Northern Haida	A
hbs	Serbo-Croatian	bos	Bosnian	A
hbs	Serbo-Croatian	cnr	Montenegrin	A
hbs	Serbo-Croatian	hrv	Croatian	A
hbs	Serbo-Croatian	srp	Serbian	A
hmn	Hmong	cqd	Chuanqiandian Cluster Miao	A
hmn	Hmong	hea	Northern Qiandong Miao	A
hmn	Hmong	hma	Southern Mashan Hmong	A
hmn	Hmong	hmc	Central Huishui Hmong	A
hmn	Hmong	hmd	Large Flowery Miao	A
hmn	Hmong	hme	Eastern Huishui Hmong	A
hmn	Hmong	hmg	Southwestern Guiyang Hmong	A
hmn	Hmong	hmh	Southwestern Huishui Hmong	A
hmn	Hmong	hmi	Northern Huishui Hmong	A
hmn	Hmong	hmj	Ge	A
hmn	Hmong	hml	Luopohe Hmong	A
hmn	Hmong	hmm	Central Mashan Hmong	A
hmn	Hmong	hmp	Northern Mashan Hmong	A
hmn	Hmong	hmq	Eastern Qiandong Miao	A
hmn	Hmong	hms	Southern Qiandong Miao	A
hmn	Hmong	hmw	Western Mashan Hmong	A
hmn	Hmong	hmy	Southern Guiyang Hmong	A
hmn	Hmong	hmz	Hmong Shua	A
hmn	Hmong	hnj	Hmong Njua	A
hmn	Hmong	hrm	Horned Miao	A
hmn	Hmong	huj	Northern Guiyang Hmong	A
hmn	Hmong	mmr	Western Xiangxi Miao	A
hmn	Hmong	muq	Eastern Xiangxi Miao	A
hmn	Hmong	mww	Hmong Daw	A
hmn	Hmong	sfm	Small Flowery Miao	A
iku	Inuktitut	ike	Eastern Canadian Inuktitut	A
iku	Inuktitut	ikt	Inuinnaqtun	A
ipk	Inupiaq	esi	North Alaskan Inupiatun	A
ipk	Inupiaq	esk	Northwest Alaska Inupiatun	A
jrb	Judeo-Arabic	aju	Judeo-Moroccan Arabic	A
jrb	Judeo-Arabic	jye	Judeo-Yemeni Arabic	A
jrb	Judeo-Arabic	yhd	Judeo-Iraqi Arabic	A
jrb	Judeo-Arabic	yud	Judeo-Tripolitanian Arabic	A
kau	Kanuri	kby	Manga Kanuri	A
kau	Kanuri	knc	Central Kanuri	A
kau	Kanuri	krt	Tumari Kanuri	A
kln	Kalenjin	enb	Markweeta	A
kln	Kalenjin	eyo	Keiyo	A
kln	Kalenjin	niq	Nandi	A
kln	Kalenjin	oki	Okiek	A
kln	Kalenjin	pko	Pökoot	A
kln	Kalenjin	sgc	Kipsigis	A
kln	Kalenjin	spy	Sabaot	A
kln	Kalenjin	tec	Terik	A
kln	Kalenjin	tuy	Tugen	A
kok	Konkani (macrolanguage)	gom	Goan Konkani	A
kok	Konkani (macrolanguage)	knn	Konkani (individual language)	A
kom	Komi	koi	Komi-Permyak	A
kom	Komi	kpv	Komi-Zyrian	A
kon	Kongo	kng	Koongo	A
kon	Kongo	kwy	San Salvador Kongo	A
kon	Kongo	ldi	Laari	A
kpe	Kpelle	gkp	Guinea Kpelle	A
kpe	Kpelle	xpe	Liberia Kpelle	A
kur	Kurdish	ckb	Central Kurdish	A
kur	Kurdish	kmr	Northern Kurdish	A
kur	Kurdish	sdh	Southern Kurdish	A
lah	Lahnda	hnd	Southern Hindko	A
lah	Lahnda	hno	Northern Hindko	A
lah	Lahnda	jat	Jakati	A
lah	Lahnda	phr	Pahari-Potwari	A
lah	Lahnda	pnb	Western Panjabi	A
lah	Lahnda	skr	Saraiki	A
lah	Lahnda	xhe	Khetrani	A
lav	Latvian	ltg	Latgalian	A
lav	Latvian	lvs	Standard Latvian	A
luy	Luyia	bxk	Bukusu	A
luy	Luyia	ida	Idakho-Isukha-Tiriki	A
luy	Luyia	lkb	Kabras	A
luy	Luyia	lko	Khayo	A
luy	Luyia	lks	Kisa	A
luy	Luyia	lri	Marachi	A
luy	Luyia	lrm	Marama	A
luy	Luyia	lsm	Saamia	A
luy	Luyia	lto	Tsotso	A
luy	Luyia	lts	Tachoni	A
luy	Luyia	lwg	Wanga	A
luy	Luyia	nle	East Nyala	A
luy	Luyia	nyd	Nyore	A
luy	Luyia	rag	Logooli	A
man	Mandingo	emk	Eastern Maninkakan	A
man	Mandingo	mku	Konyanka Maninka	A
man	Mandingo	mlq	Western Maninkakan	A
man	Mandingo	mnk	Mandinka	A
man	Mandingo	msc	Sankaran Maninka	A
man	Mandingo	mwk	Kita Maninkakan	A
mlg	Malagasy	bhr	Bara Malagasy	A
mlg	Malagasy	bmm	Northern Betsimisaraka Malagasy	A
mlg	Malagasy	bzc	Southern Betsimisaraka Malagasy	A
mlg	Malagasy	msh	Masikoro Malagasy	A
mlg	Malagasy	plt	Plateau Malagasy	A
mlg	Malagasy	skg	Sakalava Malagasy	A
mlg	Malagasy	tdx	Tandroy-Mahafaly Malagasy	A
mlg	Malagasy	tkg	Tesaka Malagasy	A
mlg	Malagasy	txy	Tanosy Malagasy	A
mlg	Malagasy	xmv	Antankarana Malagasy	A
mlg	Malagasy	xmw	Tsimihety Malagasy	A
mon	Mongolian	khk	Halh Mongolian	A
mon	Mongolian	mvf	Peripheral Mongolian	A
msa	Malay (macrolanguage)	bjn	Banjar	A
msa	Malay (macrolanguage)	btj	Bacanese Malay	A
