frequency,absolute_url_path,fragment,combination_signature,sources
1,/writing/dhivesakuru.htm,,"{'writing.csv:writing_system': 2, 'langalphSingle.csv:writing_system': 2}",writing.csv:Dives Akuru | writing.csv:Evēla Akuru | langalphSingle.csv:Dhives Akuru | langalphSingle.csv:Evela Akuru
1,/writing/egyptian.htm,,"{'writing.csv:writing_system': 2, 'langalphSingle.csv:writing_system': 1}",writing.csv:Ancient Egyptian (Hieroglyphs) | writing.csv:Hieroglyphs (Egyptian) | langalphSingle.csv:Ancient Egyptian Hieroglyphic
1,/writing/gurmukhi.htm,,{'langalphMap.json:writing_system': 1},langalphMap.json:Gurmukhi_for_0_languages
1,/writing/iberian.htm,,"{'language.csv:language': 2, 'writing.csv:writing_system': 1, 'langalphSingle.csv:writing_system': 1}",language.csv:Iberian | language.csv:Lusitanian | writing.csv:Iberian | langalphSingle.csv:Iberian
1,/writing/korean.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 2, 'langalphSingle.csv:writing_system': 1, 'langalphMap.json:language': 2, 'langalphMap.json:writing_system': 1}",language.csv:Korean | writing.csv:Hangeul (Korean) | writing.csv:Korean (Hangeul) | langalphSingle.csv:Korean (Hangeul) | langalphMap.json:Korean (hanja)_using_Chinese | langalphMap.json:Hangeul_for_3_languages | langalphMap.json:Korean_using_Hangeul
1,/writing/mongolian.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 1, 'langalphMap.json:writing_system': 1, 'langalphMap.json:language': 4}",language.csv:Mongolian | writing.csv:Mongolian | langalphMap.json:Mongolian_for_9_languages | langalphMap.json:Mongolian_using_Mongolian | langalphMap.json:Mongolian_using_Phags-pa | langalphMap.json:Mongolian_using_Soyombo | langalphMap.json:Mongolian_using_Cyrillic
1,/writing/orkhon.htm,,"{'language.csv:language': 1, 'writing.csv:writing_system': 2, 'langalphSingle.csv:writing_system': 1}",language.csv:Old Turkic / Orkhon | writing.csv:Old Turkic (Orkhon / Yenisei) | writing.csv:Yenisei (Old Turkic) | langalphSingle.csv:Orkhon / Old Turkic
1,/writing/sahaptin.htm,,"{'language.csv:language': 4, 'langalphMap.json:language': 1}",language.csv:Sahaptin | language.csv:Teino | language.csv:Umatilla | language.csv:Walla Walla | langalphMap.json:Sahaptin_using_Latin / Roman
1,/writing/sanskrit.htm,,"{'language.csv:language': 1, 'langalphMap.json:language': 5}",language.csv:Sanskrit | langalphMap.json:Sanskrit_using_Devanagari | langalphMap.json:Sanskrit_using_Phags-pa | langalphMap.json:Sanskrit_using_Sharda | langalphMap.json:Sanskrit_using_Soyombo | langalphMap.json:Sanskrit_using_Thai
1,/writing/southarabian.htm,,"{'language.csv:language': 3, 'writing.csv:writing_system': 1}",language.csv:Hadhramautic | language.csv:Himyaritic | language.csv:Qatabanic | writing.csv:South Arabian
