absolute_url_path,base_path,fragment,sources.label,sources.source
/chinese/cantonese.htm,/chinese/cantonese.htm,,Chinese (Cantonese),language.csv
/chinese/cantonese.htm,/chinese/cantonese.htm,,Cantonese (honji)_using_Chinese,langalphMap.json
/chinese/dungan.htm,/chinese/dungan.htm,,Chinese (Dungan),language.csv
/chinese/dungan.htm,/chinese/dungan.htm,,Dungan_using_Cyrillic,langalphMap.json
/chinese/fuzhounese.htm,/chinese/fuzhounese.htm,,Chinese (Fuzhounese),language.csv
/chinese/gan.htm,/chinese/gan.htm,,Chinese (Gan),language.csv
/chinese/generalchinese.htm,/chinese/generalchinese.htm,,General Chinese,writing.csv
/chinese/hakka.htm,/chinese/hakka.htm,,Chinese (Hakka),language.csv
/chinese/index.htm,/chinese/index.htm,,Chinese,writing.csv
/chinese/index.htm,/chinese/index.htm,,Chinese_for_5_languages,langalphMap.json
/chinese/index.htm,/chinese/index.htm,,Chinese (hanzi)_using_Chinese,langalphMap.json
/chinese/jianou.htm,/chinese/jianou.htm,,Chinese (Jian'ou),language.csv
/chinese/jianou.htm,/chinese/jianou.htm,,Jian'ou_using_Latin / Roman,langalphMap.json
/chinese/mandarin.htm,/chinese/mandarin.htm,,Chinese (Mandarin),language.csv
/chinese/mandarin.htm,/chinese/mandarin.htm,,Chinese_using_Phags-pa,langalphMap.json
/chinese/puxian.htm,/chinese/puxian.htm,,Chinese (Puxian),language.csv
/chinese/shanghainese.htm,/chinese/shanghainese.htm,,Chinese (Shanghainese),language.csv
/chinese/taiwanese.htm,/chinese/taiwanese.htm,,Chinese (Taiwanese),language.csv
/chinese/taiwanese.htm,/chinese/taiwanese.htm,,Taiwanese_using_Latin / Roman,langalphMap.json
/chinese/taiwanesehakka.htm,/chinese/taiwanesehakka.htm,,Chinese (Taiwanese Hakka),language.csv
/chinese/taiwanesehakka.htm,/chinese/taiwanesehakka.htm,,Taiwanese Hakka_using_Latin / Roman,langalphMap.json
/chinese/teochew.htm,/chinese/teochew.htm,,Chinese (Teochew),language.csv
/chinese/weitou.htm,/chinese/weitou.htm,,Chinese (Weitou),language.csv
/chinese/wenzhounese.htm,/chinese/wenzhounese.htm,,Chinese (Wenzhounese),language.csv
/chinese/wenzhounese.htm,/chinese/wenzhounese.htm,,Wenzhounese_using_Latin / Roman,langalphMap.json
/chinese/wu.htm,/chinese/wu.htm,,Chinese (Wu),language.csv
/chinese/xiang.htm,/chinese/xiang.htm,,Chinese (Xiang),language.csv
/chinese/xiaoerjing.htm,/chinese/xiaoerjing.htm,,Xiao'erjing,writing.csv
/chinese/xiaoerjing.htm,/chinese/xiaoerjing.htm,,Xiao'erjing_using_Arabic,langalphMap.json
/chinese/yue.htm,/chinese/yue.htm,,Chinese (Yue),language.csv
/chinese/zhuyin.htm,/chinese/zhuyin.htm,,Zhùyīn Fúhào (Bopomofo),writing.csv
/conscripts/coelbren.htm,/conscripts/coelbren.htm,,Coelbren y Beirdd (Welsh Bardic alphabet),writing.csv
/language/articles/simpel-fonetik.php,/language/articles/simpel-fonetik.php,,Simpel-Fonetik,writing.csv
/writing/aari.htm,/writing/aari.htm,,Aari,language.csv
/writing/aari.htm,/writing/aari.htm,,Aari_using_Ge'ez (Ethiopic),langalphMap.json
/writing/aari.htm,/writing/aari.htm,,Aari_using_Latin / Roman,langalphMap.json
/writing/abaza.htm,/writing/abaza.htm,,Abaza,language.csv
/writing/abaza.htm,/writing/abaza.htm,,Abaza_using_Cyrillic,langalphMap.json
/writing/abaza.htm,/writing/abaza.htm,,Abaza_using_Latin / Roman,langalphMap.json
/writing/abellen.htm,/writing/abellen.htm,,Abellen,language.csv
/writing/abellen.htm,/writing/abellen.htm,,Abellen_using_Latin / Roman,langalphMap.json
/writing/abenaki.php,/writing/abenaki.php,,Abenaki,language.csv
/writing/abenaki.php,/writing/abenaki.php,,Abenaki_using_Latin / Roman,langalphMap.json
/writing/abidji.htm,/writing/abidji.htm,,Abidji,language.csv
/writing/abidji.htm,/writing/abidji.htm,,Abidji_using_Latin / Roman,langalphMap.json
/writing/abkhaz.htm,/writing/abkhaz.htm,,Abkhaz,language.csv
/writing/abkhaz.htm,/writing/abkhaz.htm,,Abkhaz_using_Georgian (Mkhedruli),langalphMap.json
/writing/abkhaz.htm,/writing/abkhaz.htm,,Abkhaz_using_Cyrillic,langalphMap.json
/writing/abkhaz.htm,/writing/abkhaz.htm,,Abkhaz_using_Latin / Roman,langalphMap.json
/writing/aborlantagbanwa.htm,/writing/aborlantagbanwa.htm,,Aborlan Tagbanwa,language.csv
/writing/aborlantagbanwa.htm,/writing/aborlantagbanwa.htm,,Aborlan Tagbanwa_using_Latin / Roman,langalphMap.json
/writing/abua.htm,/writing/abua.htm,,Abua,language.csv
/writing/abua.htm,/writing/abua.htm,,Abua_using_Latin / Roman,langalphMap.json
/writing/abui.htm,/writing/abui.htm,,Abui,language.csv
/writing/abui.htm,/writing/abui.htm,,Abui_using_Latin / Roman,langalphMap.json
/writing/acazulcootomi.htm,/writing/acazulcootomi.htm,,Acazulco Otomi,language.csv
/writing/acazulcootomi.htm,/writing/acazulcootomi.htm,,Acazulco Otomi_using_Latin / Roman,langalphMap.json
/writing/acehnese.htm,/writing/acehnese.htm,,Acehnese,language.csv
/writing/acehnese.htm,/writing/acehnese.htm,,Acehnese_using_Latin / Roman,langalphMap.json
/writing/achagua.htm,/writing/achagua.htm,,Achagua,language.csv
/writing/achagua.htm,/writing/achagua.htm,,Achagua_using_Latin / Roman,langalphMap.json
/writing/achang.htm,/writing/achang.htm,,Achang,language.csv
/writing/achang.htm,/writing/achang.htm,,Achang_using_Latin / Roman,langalphMap.json
/writing/acheron.htm,/writing/acheron.htm,,Acheron,language.csv
/writing/acheron.htm,/writing/acheron.htm,,Acheron_using_Latin / Roman,langalphMap.json
/writing/achi.htm,/writing/achi.htm,,Achi,language.csv
/writing/achi.htm,/writing/achi.htm,,Achi_using_Latin / Roman,langalphMap.json
/writing/achiktokbirim.htm,/writing/achiktokbirim.htm,,A-chik Tokbirim,writing.csv
/writing/acholi.htm,/writing/acholi.htm,,Acholi,language.csv
/writing/acholi.htm,/writing/acholi.htm,,Acholi_using_Latin / Roman,langalphMap.json
/writing/achuarshiwiar.htm,/writing/achuarshiwiar.htm,,Achuar-Shiwiar,language.csv
